Element_Combination,Lattice_Parameter,USFE
Mo0.01Nb0.99,3.32079,943.875
Mo0.02Nb0.98,3.31881,951.405
Mo0.03Nb0.97,3.31683,963.53
Mo0.04Nb0.96,3.31485,971.205
Mo0.05Nb0.95,3.31287,978.805
Mo0.06Nb0.94,3.31089,985.625
Mo0.07Nb0.93,3.30924,992.45
Mo0.08Nb0.92,3.30726,1012.28
Mo0.09Nb0.91,3.30528,1018.33
Mo0.10Nb0.90,3.30363,1029.89
Mo0.11Nb0.89,3.30165,1034.79
Mo0.12Nb0.88,3.3,1037.36
Mo0.13Nb0.87,3.29802,1045.99
Mo0.14Nb0.86,3.29637,1062.75
Mo0.15Nb0.85,3.29472,1067.76
Mo0.16Nb0.84,3.29274,1076.9
Mo0.17Nb0.83,3.29109,1081.99
Mo0.18Nb0.82,3.28944,1092.71
Mo0.19Nb0.81,3.28779,1104.75
Mo0.20Nb0.80,3.28581,1112.13
Mo0.21Nb0.79,3.28416,1119.2
Mo0.22Nb0.78,3.28251,1127.95
Mo0.23Nb0.77,3.28086,1126.98
Mo0.24Nb0.76,3.27921,1138.09
Mo0.25Nb0.75,3.27756,1145.52
Mo0.26Nb0.74,3.27591,1153.97
Mo0.27Nb0.73,3.27426,1164.62
Mo0.28Nb0.72,3.27261,1165.42
Mo0.29Nb0.71,3.27096,1182.4
Mo0.30Nb0.70,3.26964,1187.06
Mo0.31Nb0.69,3.26799,1192.0
Mo0.32Nb0.68,3.26634,1200.11
Mo0.33Nb0.67,3.26469,1209.82
Mo0.34Nb0.66,3.26304,1219.72
Mo0.35Nb0.65,3.26139,1226.25
Mo0.36Nb0.64,3.26007,1238.71
Mo0.37Nb0.63,3.25842,1253.72
Mo0.38Nb0.62,3.25677,1259.5
Mo0.39Nb0.61,3.25512,1261.12
Mo0.40Nb0.60,3.2538,1277.83
Mo0.41Nb0.59,3.25215,1275.42
Mo0.42Nb0.58,3.2505,1299.52
Mo0.43Nb0.57,3.24885,1286.97
Mo0.44Nb0.56,3.24753,1296.48
Mo0.45Nb0.55,3.24588,1306.82
Mo0.46Nb0.54,3.24423,1313.71
Mo0.47Nb0.53,3.24291,1330.6
Mo0.48Nb0.52,3.24126,1325.11
Mo0.49Nb0.51,3.23994,1329.79
Mo0.50Nb0.50,3.23829,1344.71
Mo0.51Nb0.49,3.23664,1349.71
Mo0.52Nb0.48,3.23532,1354.4
Mo0.53Nb0.47,3.23367,1363.41
Mo0.54Nb0.46,3.23235,1372.12
Mo0.55Nb0.45,3.2307,1379.17
Mo0.56Nb0.44,3.22938,1383.49
Mo0.57Nb0.43,3.22773,1386.79
Mo0.58Nb0.42,3.22641,1387.24
Mo0.59Nb0.41,3.22476,1389.39
Mo0.60Nb0.40,3.22344,1391.72
Mo0.61Nb0.39,3.22179,1409.38
Mo0.62Nb0.38,3.22047,1405.04
Mo0.63Nb0.37,3.21882,1413.33
Mo0.64Nb0.36,3.2175,1415.49
Mo0.65Nb0.35,3.21585,1423.72
Mo0.66Nb0.34,3.21453,1428.33
